## File:        /l1/obj/a/b/u/abu0246.0001.001/pageview.dat
## Created:     Wed Aug  2 14:11:02 EDT 2000
##
#filename	seq	pagenum	confid	feature
00000162.tif	0162	00000138		UNS
00000163.tif	0163	00[138a]		UNS
00000164.tif	0164	00[138b]		UNS
00000165.tif	0165	000[139]		UNS
00000166.tif	0166	00000140		UNS
00000167.tif	0167	00000141		UNS
00000168.tif	0168	00000142		UNS
00000169.tif	0169	00000143		UNS
00000170.tif	0170	00000144		UNS
00000171.tif	0171	00000145		UNS
00000172.tif	0172	00000146		UNS
00000173.tif	0173	00000147		UNS
00000174.tif	0174	00000148		UNS
00000175.tif	0175	00000149		UNS
00000176.tif	0176	00000150		UNS
00000177.tif	0177	00000151		UNS
00000178.tif	0178	00000152		UNS
00000179.tif	0179	00000153		UNS
00000180.tif	0180	00000154		UNS
00000181.tif	0181	00000155		UNS
00000182.tif	0182	00000156		UNS
00000183.tif	0183	00000157		UNS
00000184.tif	0184	00000158		UNS
00000185.tif	0185	00000159		UNS
00000186.tif	0186	00000160		UNS
00000187.tif	0187	00000161		UNS
00000188.tif	0188	00000162		UNS
00000189.tif	0189	00000163		UNS
00000190.tif	0190	00000164		UNS
00000191.tif	0191	00000165		UNS
00000192.tif	0192	00000166		UNS
00000193.tif	0193	00000167		UNS
00000194.tif	0194	00000168		UNS
00000195.tif	0195	00[168a]		UNS
00000196.tif	0196	00[168b]		UNS
00000199.tif	0199	000[169]		UNS
00000200.tif	0200	00000170		UNS
00000201.tif	0201	00000171		UNS
00000202.tif	0202	00000172		UNS
00000203.tif	0203	00000173		UNS
00000204.tif	0204	00000174		UNS
00000205.tif	0205	00[174a]		UNS
00000206.tif	0206	00[174b]		UNS
00000207.tif	0207	00[174c]		UNS
00000208.tif	0208	00[174d]		UNS
00000209.tif	0209	000[175]		UNS
00000210.tif	0210	00000176		UNS
00000211.tif	0211	00000177		UNS
00000212.tif	0212	00000178		UNS
00000213.tif	0213	00000179		UNS
00000214.tif	0214	00000180		UNS
00000215.tif	0215	00[180a]		UNS
00000216.tif	0216	00[180b]		UNS
00000219.tif	0219	000[181]		UNS
00000220.tif	0220	00000182		UNS
00000221.tif	0221	00000183		UNS
00000222.tif	0222	00000184		UNS
00000223.tif	0223	00000185		UNS
00000224.tif	0224	00000186		UNS
00000225.tif	0225	00000187		UNS
00000226.tif	0226	00000188		UNS
00000227.tif	0227	00000189		UNS
00000228.tif	0228	00000190		UNS
00000229.tif	0229	00000191		UNS
00000230.tif	0230	00000192		UNS
00000231.tif	0231	00000193		UNS
00000232.tif	0232	00000194		UNS
00000233.tif	0233	00000195		UNS
00000234.tif	0234	00000196		UNS
00000235.tif	0235	00000197		UNS
00000236.tif	0236	00000198		UNS
00000237.tif	0237	00000199		UNS
00000238.tif	0238	00000200		UNS
00000239.tif	0239	00000201		UNS
00000240.tif	0240	00000202		UNS
00000241.tif	0241	00000203		UNS
00000242.tif	0242	00000204		UNS
00000243.tif	0243	00[204a]		UNS
00000244.tif	0244	00[204b]		UNS
00000247.tif	0247	000[205]		UNS
00000248.tif	0248	00000206		UNS
00000249.tif	0249	00000207		UNS
00000250.tif	0250	00000208		UNS
00000251.tif	0251	00000209		UNS
00000252.tif	0252	00000210		UNS
00000253.tif	0253	00000211		UNS
00000254.tif	0254	00000212		UNS
00000255.tif	0255	00000213		UNS
00000256.tif	0256	00000214		UNS
00000257.tif	0257	00000215		UNS
00000258.tif	0258	00000216		UNS
00000259.tif	0259	00000217		UNS
00000260.tif	0260	00000218		UNS
00000261.tif	0261	00000219		UNS
00000262.tif	0262	00000220		UNS
00000263.tif	0263	00000221		UNS
00000264.tif	0264	00000222		UNS
00000265.tif	0265	00000223		UNS
00000266.tif	0266	00000224		UNS
00000267.tif	0267	00000225		UNS
00000268.tif	0268	00000226		UNS
00000269.tif	0269	00000227		UNS
00000270.tif	0270	00000228		UNS
00000271.tif	0271	00000229		UNS
00000272.tif	0272	00000230		UNS
00000273.tif	0273	00000231		UNS
00000274.tif	0274	00000232		UNS
00000275.tif	0275	00000233		UNS
00000276.tif	0276	00000234		UNS
00000277.tif	0277	00000235		UNS
00000278.tif	0278	00000236		UNS
00000279.tif	0279	00000237		UNS
00000280.tif	0280	00000238		UNS
00000281.tif	0281	00000239		UNS
00000282.tif	0282	00000240		UNS
00000283.tif	0283	00[240a]		UNS
00000284.tif	0284	00[240b]		UNS
00000285.tif	0285	000[241]		UNS
00000286.tif	0286	00000242		UNS
00000287.tif	0287	00000243		UNS
00000288.tif	0288	00000244		UNS
00000289.tif	0289	00000245		UNS
00000290.tif	0290	00000246		UNS
00000291.tif	0291	00000247		UNS
00000292.tif	0292	00000248		UNS
00000293.tif	0293	00000249		UNS
00000294.tif	0294	00000250		UNS
00000295.tif	0295	00000251		UNS
00000296.tif	0296	00000252		UNS
00000297.tif	0297	00000253		UNS
00000298.tif	0298	00000254		UNS
00000299.tif	0299	00000255		UNS
00000300.tif	0300	00000256		UNS
00000301.tif	0301	00000257		UNS
00000302.tif	0302	00000258		UNS
00000303.tif	0303	00000259		UNS
00000304.tif	0304	00000260		UNS
00000305.tif	0305	00000261		UNS
00000306.tif	0306	00000262		UNS
00000307.tif	0307	00[262a]		UNS
00000308.tif	0308	00[262b]		UNS
00000311.tif	0311	000[263]		UNS
00000312.tif	0312	00000264		UNS
00000313.tif	0313	00000265		UNS
00000314.tif	0314	00000266		UNS
00000315.tif	0315	00000267		UNS
00000316.tif	0316	00000268		UNS
00000317.tif	0317	00000269		UNS
00000318.tif	0318	00000270		UNS
00000319.tif	0319	00000271		UNS
00000320.tif	0320	00000272		UNS
00000321.tif	0321	00000273		UNS
00000322.tif	0322	00000274		UNS
00000323.tif	0323	00000275		UNS
00000324.tif	0324	00000276		UNS
00000325.tif	0325	00000277		UNS
00000326.tif	0326	00000278		UNS
00000327.tif	0327	00000279		UNS
00000328.tif	0328	00000280		UNS
00000329.tif	0329	00000281		UNS
00000330.tif	0330	00000282		UNS
00000331.tif	0331	00000283		UNS
00000332.tif	0332	00000284		UNS
00000333.tif	0333	00000285		UNS
00000334.tif	0334	00000286		UNS
00000335.tif	0335	00000287		UNS
00000336.tif	0336	00000288		UNS
00000337.tif	0337	00[288a]		UNS
00000338.tif	0338	00[288b]		UNS
00000341.tif	0341	000[289]		UNS
00000342.tif	0342	00000290		UNS
00000343.tif	0343	00000291		UNS
00000344.tif	0344	00000292		UNS
00000345.tif	0345	00000293		UNS
00000346.tif	0346	00000294		UNS
00000347.tif	0347	00000295		UNS
00000348.tif	0348	00000296		UNS
00000349.tif	0349	00000297		UNS
00000350.tif	0350	00000298		UNS
00000351.tif	0351	00000299		UNS
00000352.tif	0352	00000300		UNS
00000353.tif	0353	00000301		UNS
00000354.tif	0354	00000302		UNS
00000355.tif	0355	00000303		UNS
00000356.tif	0356	00000304		UNS
00000357.tif	0357	00000305		UNS
00000358.tif	0358	00000306		UNS
00000359.tif	0359	00000307		UNS
00000360.tif	0360	00000308		UNS
00000361.tif	0361	00000309		UNS
00000362.tif	0362	00000310		UNS
00000363.tif	0363	00000311		UNS
00000364.tif	0364	00000312		UNS
00000365.tif	0365	00000313		UNS
00000366.tif	0366	00000314		UNS
00000367.tif	0367	00000315		UNS
00000368.tif	0368	00000316		UNS
00000369.tif	0369	00[316a]		UNS
00000370.tif	0370	00[316b]		UNS
00000373.tif	0373	000[317]		UNS
00000374.tif	0374	00000318		UNS
00000375.tif	0375	00000319		UNS
00000376.tif	0376	00000320		UNS
00000377.tif	0377	00000321		UNS
00000378.tif	0378	00000322		UNS
00000379.tif	0379	00000323		UNS
00000380.tif	0380	00000324		UNS
00000381.tif	0381	00000325		UNS
00000382.tif	0382	00000326		UNS
00000383.tif	0383	00000327		UNS
00000384.tif	0384	00000328		UNS
00000385.tif	0385	00000329		UNS
00000386.tif	0386	00000386		UNS
